index,prediction
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,40 centimetre
10,1 ton
11,41.6 centimetre
12,
13,4.3 inch
14,
15,
16,
17,
18,
19,240 volt
20,120 centimetre
21,
22,215 millilitre
23,32 centimetre
24,
25,
26,
27,
28,9.5 kilogram
29,2.62 pound
30,
31,
32,
33,
34,5.8 inch
35,3 pound
36,
37,
38,
39,
40,
41,9 inch
42,96 inch
43,48 inch
44,60 centimetre
45,5.8 inch
46,
47,
48,
49,
50,35 inch
51,
52,
53,5 inch
54,
55,
56,8 ton
57,
58,
59,
60,
61,
62,100 millimetre
63,
64,
65,3.7 volt
66,1.92 ton
67,
68,
69,4.2 inch
70,
71,
72,9.1 inch
73,
74,1500 watt
75,
76,4.7 inch
77,
78,
79,
80,
81,243 pound
82,11.1 pound
83,10 ounce
84,39 inch
85,
86,
87,
88,
89,
90,60 centimetre
91,200 pound
92,400 millimetre
93,7.6 inch
94,
95,
96,14 centimetre
97,9.6 volt
98,3.8 centimetre
99,
100,37 inch
101,2 fluid ounce
102,
103,62 centimetre
104,40 centimetre
105,16 centimetre
106,
107,60 centimetre
108,8 ounce
109,40 centimetre
110,8 centimetre
111,
112,650 watt
113,
114,
115,500 watt
116,1.05 ounce
117,
118,
119,45 centimetre
120,3.5 ounce
121,165 centimetre
122,
123,6601 pound
124,1 kilogram
125,
126,12 volt
127,191 centimetre
128,180 centimetre
129,7.8 pound
130,40 centimetre
131,
132,25.6 inch
133,
134,50 pound
135,20.0 centimetre
136,
137,18.5 centimetre
138,9.45 centimetre
139,11.5 millimetre
140,100 millimetre
141,3 centimetre
142,82 inch
143,33 inch
144,
145,90 centimetre
146,
147,20 litre
148,
149,
150,1 ton
151,74.93 centimetre
152,3.14 inch
153,7.86 inch
154,
155,
156,50 millimetre
157,74 inch
158,30.3 inch
159,2.31 pound
160,13 centimetre
161,
162,82 centimetre
163,10 inch
164,
165,24 volt
166,
167,6 kilogram
168,
169,35 centimetre
170,
171,33.1 inch
172,31 ounce
173,1.1 inch
174,
175,14 centimetre
176,
177,23.8 inch
178,20 pound
179,5.9 inch
180,1.1 inch
181,32 ounce
182,24 centimetre
183,
184,180 millivolt
185,
186,7.19 centimetre
187,
188,2.7 inch
189,
190,
191,
192,40 centimetre
193,6.2 pound
194,20 centimetre
195,10.4 centimetre
196,27.4 centimetre
197,
198,
199,
200,
201,
202,37.5 centimetre
203,
204,10 inch
205,1700 watt
206,
207,5 inch
208,8 ounce
209,8 kilogram
210,213.5 millimetre
211,65 milligram
212,128 centimetre
213,
214,60 centimetre
215,151.5 centimetre
216,12 volt
217,
218,
219,
220,8.1 inch
221,
222,43.18 centimetre
223,50.7 pound
224,6.5 foot
225,3 foot
226,19.5 centimetre
227,4 ounce
228,4 ton
229,
230,
231,5 centimetre
232,
233,70 centimetre
234,160 centimetre
